model_type,vectorizer_num_features,semi_supervised,samples,dummy_train_accuracy,dummy_test_accuracy,train_accuracy,test_accuracy,run_time
MultinomialNB,100,False,250,0.3346613545816733,0.36998680738786277,0.9203187250996016,0.8744722955145119,0.003001
MultinomialNB,100,False,500,0.36726546906187624,0.38476253298153035,0.9201596806387226,0.8869393139841689,0.003
MultinomialNB,100,False,750,0.37283621837549935,0.3883905013192612,0.9107856191744341,0.891424802110818,0.004001
MultinomialNB,100,False,1000,0.37962037962037964,0.3867414248021108,0.9070929070929071,0.8919525065963061,0.003
MultinomialNB,100,False,2000,0.3828085957021489,0.383509234828496,0.9055472263868066,0.9013192612137203,0.005999
MultinomialNB,100,False,3000,0.39820059980006667,0.38773087071240103,0.9033655448183938,0.903957783641161,0.01298
MultinomialNB,100,False,4000,0.3911522119470133,0.38905013192612137,0.9030242439390153,0.9034960422163588,0.010009
MultinomialNB,100,False,5000,0.40851829634073183,0.39313984168865435,0.9062187562487503,0.9051451187335092,0.013007
MultinomialNB,100,False,6000,0.4024329278453591,0.3924142480211082,0.9061823029495084,0.9056728232189973,0.014002
MultinomialNB,100,False,7000,0.3960862733895158,0.39313984168865435,0.9074417940294244,0.9057387862796834,0.017
MultinomialNB,100,False,8000,0.39657542807149104,0.39267810026385225,0.9058867641544807,0.9060686015831134,0.02402
MultinomialNB,100,False,9000,0.39495611598711255,0.39307387862796833,0.9056771469836685,0.9058707124010554,0.025001
MultinomialNB,100,False,10000,0.39676032396760325,0.39313984168865435,0.9062093790620938,0.9058707124010554,0.028999
MultinomialNB,100,False,11000,0.4018725570402691,0.3939973614775726,0.9066448504681393,0.9051451187335092,0.029002
MultinomialNB,100,False,12000,0.3988000999916674,0.3954485488126649,0.9070077493542205,0.9048812664907652,0.033
MultinomialNB,100,False,13000,0.4001230674563495,0.39478891820580475,0.908160910699177,0.904419525065963,0.033001
MultinomialNB,100,False,14000,0.3962574101849868,0.3946569920844327,0.9077923005499607,0.9046833773087071,0.041003
MultinomialNB,100,False,15000,0.39730684621025264,0.3944591029023747,0.9086727551496567,0.9047493403693931,0.036997
MultinomialNB,100,False,16000,0.4005999625023436,0.3940633245382586,0.9098806324604712,0.9047493403693931,0.043982
MultinomialNB,100,False,17000,0.3974472089877066,0.3939973614775726,0.9092406329039469,0.9050791556728233,0.056997
MultinomialNB,100,False,18000,0.3992555969112827,0.3961741424802111,0.9098383423143158,0.9046833773087071,0.065
MultinomialNB,100,False,19000,0.4007157518025367,0.3955145118733509,0.9102152518288511,0.904287598944591,0.065007
MultinomialNB,100,False,20000,0.4011299435028249,0.39630606860158313,0.9106544672766361,0.9044854881266491,0.059003
MultinomialNB,100,False,21000,0.399742869387172,0.39683377308707124,0.9097185848292938,0.9048812664907652,0.067996
MultinomialNB,100,False,22000,0.4057088314167538,0.3970316622691293,0.9098677332848507,0.9050131926121372,0.054019
MultinomialNB,100,False,23000,0.402373809834355,0.39696569920844327,0.9093952436850572,0.9046833773087071,0.082998
MultinomialNB,100,False,24000,0.40523311528686307,0.3970316622691293,0.9096287654681054,0.9048153034300792,0.069004
MultinomialNB,100,False,25000,0.4080236790528379,0.3971635883905013,0.9095236190552378,0.9050131926121372,0.079023
MultinomialNB,100,False,26000,0.4031383408330449,0.39729551451187334,0.9096573208722741,0.9046174142480211,0.101002
MultinomialNB,100,False,27000,0.40628124884263545,0.39696569920844327,0.9095218695603866,0.9047493403693931,0.070002
MultinomialNB,100,False,28000,0.40155708724688405,0.3971635883905013,0.9098246491196743,0.9048153034300792,0.074996
MultinomialNB,100,False,29000,0.4004344677769732,0.39742744063324537,0.9098306954932589,0.9049472295514512,0.082999
MultinomialNB,100,False,30000,0.40465317822739244,0.39729551451187334,0.9093696876770774,0.9048812664907652,0.079002
